horizon,feature_set,model,train_window_years,weight_strategy,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_roc_auc,mean_precision_up,mean_recall_up,mean_recall_not_up,mean_f1_up,mean_mcc,mean_threshold,mean_n_features,mean_n_global_features,total_tp,total_tn,total_fp,total_fn,n_blocks,n_test_total
21,colombia_plus_global_full,HistGradientBoostingClassifier,all,balanced,0.8877165202081129,0.05972737570088733,0.8734228782809603,0.09850934576590159,0.9478345930134738,0.7472320774548757,0.8733333333333333,0.8735124232285875,0.7913584729369953,0.7139254407185126,0.3103407486887806,2200.0,1933.8,612,1009,145,60,10,1826
21,colombia_plus_global_full,HistGradientBoostingClassifier,all,none,0.8756668835608302,0.08430483522385517,0.8594470222980564,0.11319799057916216,0.946317626082597,0.7358809661702465,0.868095238095238,0.8507988065008746,0.7783364237718673,0.6978543482427083,0.22944837219633518,2200.0,1933.8,617,982,172,55,10,1826
21,colombia_plus_global_full,XGBClassifier,15,none,0.8812191651730445,0.06784480138607049,0.8558666827970074,0.1341324991840273,0.9422547792378696,0.7291482593004053,0.8466666666666667,0.865066698927348,0.7679556740351232,0.6874660051404835,0.3370354029601812,2200.0,1930.8,611,998,156,61,10,1826
21,colombia_plus_global_full,XGBClassifier,15,cluster_x4,0.862029410056674,0.07998784613158545,0.8424458993612948,0.11417505665878515,0.9428573911545689,0.7104752508889322,0.8333333333333334,0.8515584653892564,0.747689790082804,0.6578030623829987,0.32301040780007834,2200.0,1930.8,596,978,176,76,10,1826
21,colombia_plus_global_full,XGBClassifier,all,recency_4y,0.8635486150889706,0.08215713742374042,0.836653978922404,0.149617074213367,0.943841365877644,0.6998827392621472,0.8252380952380953,0.8480698626067129,0.738354818906392,0.6481651417234909,0.36045282746016977,2200.0,1933.8,598,979,175,74,10,1826
21,global_macro_only,XGBClassifier,all,none,0.7086701792082527,0.1587161225864799,0.7263874563763798,0.11650034629239833,0.8429184542582846,0.5921919372196277,0.7038095238095238,0.7489653889432357,0.5698585727413792,0.4826034975787321,0.2756426284784078,1188.0,910.0,464,830,324,208,10,1826
21,colombia_plus_global_compact,XGBClassifier,all,none,0.6245299709898557,0.18210292020020816,0.6865663040541243,0.11431480230892707,0.7383928368562278,0.5379640260582091,0.7726190476190476,0.6005135604892011,0.541366623393447,0.3648170182665821,0.23089730561196803,528.0,250.0,493,648,506,179,10,1826
21,colombia_plus_global_compact,LogisticRegression,10,recency_4y,0.728740071482685,0.1299671650366749,0.6769102426534902,0.11846410555118277,0.8368954173144287,0.6511164927891676,0.5554761904761905,0.79834429483079,0.5146363829948069,0.42530581174122806,0.39380000000000004,528.0,250.0,382,950,204,290,10,1826
21,colombia_plus_global_compact,XGBClassifier,all,recency_4y,0.6657864745151557,0.19236636406135163,0.6708083454234275,0.09592165842443859,0.7610382392454531,0.5661987196007884,0.6857142857142857,0.6559024051325695,0.5412918437953832,0.39990465725655144,0.24061333751022812,528.0,250.0,465,751,403,207,10,1826
21,global_no_gold_direct,HistGradientBoostingClassifier,all,balanced,0.6794046783147192,0.17254235441584165,0.665325908672596,0.11953277957461998,0.750472583042158,0.6237226583119098,0.5761904761904761,0.7544613411547159,0.5274230894374271,0.3554898796440318,0.1329016297466276,456.0,178.0,394,847,307,278,10,1826
21,colombia_only,XGBClassifier,all,recency_4y,0.6220902746064889,0.16610887438279362,0.6521417736690966,0.10273248219836913,0.7427233960961745,0.5330369890750072,0.6430952380952382,0.6611883092429551,0.45629334150369144,0.3453499512313376,0.19058558974623677,278.0,0.0,405,731,423,267,10,1826
21,global_no_gold_direct,XGBClassifier,all,none,0.5855316194734883,0.1512134292338681,0.6435876188415479,0.126076872729726,0.7244001562352509,0.521421846682103,0.6928571428571428,0.594318094825953,0.4952200527866089,0.29201232296632634,0.19751899836957454,456.0,178.0,434,635,519,238,10,1826
21,colombia_only,HistGradientBoostingClassifier,all,macrofull_x15,0.6245500655961862,0.1780166342304744,0.6352782749839083,0.10390938910352639,0.7176441225282567,0.4653775634142721,0.5383333333333333,0.7322232166344832,0.3992402976820305,0.3389962970511033,0.12521496202585078,278.0,0.0,331,810,344,341,10,1826
21,global_no_metals,XGBClassifier,all,none,0.5479627896724942,0.15101637581088564,0.6261317200008235,0.11089947870092544,0.7075777378326095,0.5069671092671831,0.6761904761904762,0.5760729638111708,0.4629976350737084,0.25578977101828204,0.198240799139142,366.0,88.0,403,597,557,269,10,1826
21,colombia_plus_global_compact,RandomForestClassifier,15,macrofull_x15,0.6220656925347052,0.1701361572640899,0.6225346261546164,0.10323438041065701,0.6781001724893689,0.48353505959490084,0.7628571428571428,0.48221210945209003,0.5651969157365521,0.27962233073085685,0.298753845067885,528.0,250.0,550,586,568,122,10,1826
21,deterministic_baseline,Brent_Momentum_21,deterministic,deterministic,0.47648993751864277,0.11828327995553131,0.52051743773764,0.1280144488168247,0.52051743773764,0.37016184918054595,0.5907142857142857,0.4503205897609943,0.4038929134411501,0.038628620840927705,0.5,1.0,0.0,367,503,651,305,10,1826
21,deterministic_baseline,MA_63_126,deterministic,deterministic,0.5190816599926616,0.05367347998421763,0.4682396284307332,0.13702733975672812,0.4682396284307332,0.329848681567972,0.6102380952380952,0.3262411616233711,0.4144667969696255,-0.08172112390171149,0.5,1.0,0.0,499,449,705,173,10,1826
21,deterministic_baseline,MA_21_63,deterministic,deterministic,0.523676395667748,0.11592710794447114,0.44527099327176006,0.11697303906282489,0.44527099327176006,0.30776149076585224,0.5007142857142857,0.38982770082923435,0.3737636574151871,-0.10540181066208718,0.5,1.0,0.0,419,538,616,253,10,1826
21,deterministic_baseline,TRM_Momentum_21,deterministic,deterministic,0.4282279394878482,0.09862401433475519,0.42832624404096487,0.09867554758379347,0.42832624404096487,0.2989677678518855,0.39404761904761904,0.4626048690343107,0.3033995259223238,-0.13188401374830921,0.5,1.0,0.0,248,534,620,424,10,1826
21,deterministic_baseline,Momentum_21,deterministic,deterministic,0.5163325264694469,0.18677004665547134,0.4180873703659703,0.10693408818970254,0.4180873703659703,0.26579153489693735,0.2873809523809524,0.5487937883509881,0.2712070885862563,-0.17040128184875808,0.5,1.0,0.0,231,713,441,441,10,1826
21,deterministic_baseline,Momentum_63,deterministic,deterministic,0.5056483991626918,0.11811199143921848,0.3989376711104535,0.06589130304363366,0.3989376711104535,0.2812930907211929,0.445,0.35287534222090694,0.34154813148467555,-0.21622905857203503,0.5,1.0,0.0,420,504,650,252,10,1826
