year,fuel_exports_pct_merch,ores_metals_exports_pct_merch,manufactures_exports_pct_merch,manufacturing_gdp_pct,agriculture_gdp_pct,industry_gdp_pct,gdp_current_usd,official_exchange_rate,reer_index,terms_trade_index,current_account_pct_gdp,fdi_inflows_pct_gdp,oil_rents_pct_gdp,coal_rents_pct_gdp,mineral_rents_pct_gdp,natural_resource_rents_pct_gdp,trm_promedio_anual,trm_volatilidad_anual,trm_min_anual,trm_max_anual,trm_obs,brent_usd_bbl,crude_oil_avg_usd_bbl,coal_usd_ton,gold_usd_troy_oz,coffee_arabica_usd,coffee_robusta_usd,wdi_extractive_export_share,wdi_manufactures_export_share,extractive_export_share,commodity_export_share,manufacturing_gdp_share,agriculture_gdp_share,industry_gdp_share,natural_resource_rents_gdp_share,oil_rents_gdp_share,coal_rents_gdp_share,mineral_rents_gdp_share,real_appreciation_itcr_banrep,real_appreciation_reer,nominal_appreciation_trm,real_or_nominal_appreciation,terms_trade_index_final,terms_trade_growth,fdi_inflows_gdp_share,current_account_gdp_share,manufacturing_share_change,manufacturing_loss,manufactures_export_share_change,manufactures_export_loss,agriculture_share_change,agriculture_loss,commodity_price_index_z,commodity_price_growth,year_incomplete_warning,s_concentracion_extractiva,s_concentracion_commodities,s_boom_precios_commodities,s_apreciacion_cambiaria,s_perdida_manufacturera,s_rentas_recursos_altas,s_terminos_intercambio,s_fdi_alta,dd_score,n_core_vars_available,dd_clasificacion,dd_signals_count,dd_lag1_dd_score,dd_lag1_dd_clasificacion
2000,43.07950461,0.66327588,32.45683612,13.93270065,8.305719533,27.30577228,99875074951.0,2087.918333,81.43633487,90.41692618,0.846461526,2.439507479,5.136914574,0.005947433,0.389708656,5.792412752,2088.304609,103.9229473,1874.35,2232.24,243,28.27291591,28.22971944,26.25,279.0316667,1.919666667,0.913025,0.437427805,0.324568361,0.437427805,0.437427805,0.139327007,0.083057195,0.273057723,0.057924128,0.051369146,5.94743e-05,0.003897087,,,,,90.41692618,,0.024395075,0.008464615,,,,,,,-1.616178918,,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,0.0,4,Sin evidencia suficiente,0,,Sin clasificación
2001,36.29871584,0.810077377,39.35996517,14.13719665,8.320972677,27.22281504,98200641203.0,2299.893333,78.87841943,87.5229431,-1.059376741,2.588519363,3.389529121,0.091714856,0.152327977,3.898278216,2300.046844,32.86580793,2219.6,2378.41,244,24.42157154,24.351825,32.3125,270.9891667,1.373116667,0.607175,0.371087932,0.393599652,0.371087932,0.371087932,0.141371966,0.083209727,0.27222815,0.038982782,0.033895291,0.000917149,0.00152328,,-0.031913875,-0.096576945,-0.031913875,87.5229431,-0.032530521,0.025885194,-0.010593767,0.00204496,0.0,0.06903129,0.0,0.000152531,0.0,-1.796924971,-0.075741056,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,0.0,6,Sin evidencia suficiente,0,0.0,Sin evidencia suficiente
2002,35.91875625,0.825699802,37.78695076,14.03292802,8.510005177,27.52901277,97945812803.0,2504.680833,78.67445632,87.44238432,-1.316231638,2.178447514,3.472349145,0.018914313,0.224937814,3.950071891,2508.848033,227.3777308,2231.98,2888.23,244,24.96947771,24.92774838,25.309375,309.9716667,1.356608333,0.661783333,0.36744456,0.377869508,0.36744456,0.36744456,0.14032928,0.085100052,0.275290128,0.039500719,0.034723491,0.000189143,0.002249378,,-0.00258914,-0.086894207,-0.00258914,87.44238432,-0.000920854,0.021784475,-0.013162316,-0.001042686,0.001042686,-0.015730144,0.015730144,0.001890325,0.0,-1.847382284,-0.024946309,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,0.0,6,Sin evidencia suficiente,0,0.0,Sin evidencia suficiente
2003,37.19035402,1.012556523,34.33182623,14.23745617,8.328774165,28.90378013,94644969157.0,2877.543333,68.96469068,89.6354901,-0.963598626,1.817839311,3.700733133,0.012881056,0.620164531,4.563029203,2878.317417,51.01257318,2778.21,2968.88,240,28.85139058,28.89890319,26.090625,363.5091667,1.415385333,0.81449685,0.382029105,0.343318262,0.382029105,0.382029105,0.142374562,0.083287742,0.289037801,0.045630292,0.037007331,0.000128811,0.006201645,,-0.131723888,-0.137382196,-0.131723888,89.6354901,0.024771225,0.018178393,-0.009635986,0.002045282,0.0,-0.034551245,0.034551245,-0.00181231,0.00181231,-1.678640654,0.094160725,FALSO,FALSO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,FALSO,3.5,6,Sin evidencia suficiente,2,0.0,Sin evidencia suficiente
2004,36.90769553,1.262035269,37.03669717,14.41341036,7.910983162,29.72589209,117092000000.0,2628.368333,75.21817492,100.5720985,-0.661483096,2.660834888,3.846402849,1.068215936,0.841593768,5.928136726,2626.2825,99.35732471,2316.12,2778.92,240,38.30067968,37.7333877,52.94791667,409.2115833,1.773984227,0.793038558,0.381697308,0.370366972,0.381697308,0.381697308,0.144134104,0.079109832,0.297258921,0.059281367,0.038464028,0.010682159,0.008415938,,0.086798245,0.091636545,0.086798245,100.5720985,0.115123532,0.026608349,-0.006614831,0.001759542,0.0,0.027048709,0.0,-0.00417791,0.00417791,-1.068043527,0.333824032,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,4.0,6,Indicios parciales,3,3.5,Sin evidencia suficiente
2005,39.24562367,1.340020585,34.72468153,15.99104031,7.527266702,30.34814977,145601000000.0,2321.131667,84.79075227,114.1,-1.337731071,7.029794014,4.661875302,0.596433944,0.805803486,6.261158456,2320.898536,30.85108046,2272.95,2397.25,239,54.43413041,53.3910246,47.62090278,444.8425833,2.532171417,1.114508897,0.405856443,0.347246815,0.405856443,0.405856443,0.159910403,0.075272667,0.303481498,0.062611585,0.046618753,0.005964339,0.008058035,,0.119793594,0.123614938,0.119793594,114.1,0.126200388,0.07029794,-0.013377311,0.015776299,0.0,-0.023120156,0.023120156,-0.003837165,0.003837165,-0.702388024,0.171206032,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,6.5,6,Indicios parciales,5,4.0,Indicios parciales
2006,38.43170558,2.384493746,35.58663884,15.97860609,7.186769531,30.91346003,161793000000.0,2358.594605,83.09248554,119.0,-1.848666236,4.172385101,5.146279561,0.667109273,1.230452434,7.290626786,2358.459404,98.27775995,2225.44,2634.06,235,65.39138122,64.28825914,49.08958333,604.3358333,2.522103652,1.489312669,0.408161993,0.355866388,0.408161993,0.408161993,0.159786061,0.071867695,0.3091346,0.072906268,0.051462796,0.006671093,0.012304524,,-0.020232212,-0.016054201,-0.020232212,119.0,0.042048236,0.041723851,-0.018486662,-0.000124342,0.000124342,0.008619573,0.0,-0.003404972,0.003404972,-0.486834989,0.129049972,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,3.0,6,Sin evidencia suficiente,3,6.5,Indicios parciales
2007,36.2508074,2.341007215,39.1914255,16.15426622,6.934558676,30.57903507,206230000000.0,2077.810958,92.33021709,125.0,-2.981926609,4.308676806,4.237089282,1.007892746,1.224214458,6.699773116,2077.570381,108.9852476,1877.88,2261.22,236,72.69617053,71.11655901,65.733125,696.72025,2.723697779,1.909182548,0.385918146,0.391914255,0.385918146,0.385918146,0.161542662,0.069345587,0.305790351,0.066997731,0.042370893,0.010078927,0.012242145,,0.105417196,0.126809486,0.105417196,125.0,0.049190244,0.043086768,-0.029819266,0.001756601,0.0,0.036047867,0.0,-0.002522109,0.002522109,-0.217937252,0.154251344,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,FALSO,5.0,6,Indicios parciales,4,3.0,Sin evidencia suficiente
2008,45.96572639,1.997737594,31.50250749,15.37370371,6.68738485,32.13109113,242504000000.0,1965.1375,95.44050792,132.4,-2.679241046,4.356278346,5.533926293,2.521151798,0.483899311,8.788226917,1964.539916,212.7764668,1652.41,2392.28,238,97.63648418,96.99045376,127.1041667,871.70725,3.081599464,2.320913705,0.47963464,0.315025075,0.47963464,0.47963464,0.153737037,0.066873849,0.321310911,0.087882269,0.055339263,0.025211518,0.004838993,,0.033131633,0.055941047,0.033131633,132.4,0.057513906,0.043562783,-0.02679241,-0.007805625,0.007805625,-0.07688918,0.07688918,-0.002471738,0.002471738,0.36074818,0.325473629,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,7.5,6,Indicios parciales,6,5.0,Indicios parciales
2009,48.30044399,1.574753668,27.11854272,14.78007233,6.689740696,31.24703434,232469000000.0,2157.598333,90.44509129,125.0,-1.906926018,3.456270652,3.270492683,0.693707471,0.558259226,4.85703346,2156.262489,207.1060269,1825.68,2596.37,237,61.86220689,61.75692222,71.84416667,972.9659167,3.171142861,1.644161504,0.498751977,0.271185427,0.498751977,0.498751977,0.147800723,0.066897407,0.312470343,0.048570335,0.032704927,0.006937075,0.005582592,,-0.053760159,-0.093118316,-0.053760159,125.0,-0.057513906,0.034562707,-0.01906926,-0.005936314,0.005936314,-0.043839648,0.043839648,2.35585e-05,0.0,-0.076566447,-0.222077662,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,2.0,6,Sin evidencia suficiente,1,7.5,Indicios parciales
2010,57.15978144,1.554861536,21.3102168,13.9670257,6.324853876,31.3713561,286499000000.0,1898.9975,100.0,145.1,-2.995830912,2.244335956,4.392079787,1.274747089,0.735935017,6.70109253,1897.562101,64.13936805,1786.2,2029.54,238,79.63562998,79.04077178,98.96604167,1224.66425,4.320099865,1.73593616,0.58714643,0.213102168,0.58714643,0.58714643,0.139670257,0.063248539,0.313713561,0.067010925,0.043920798,0.012747471,0.00735935,,0.100427246,0.127806437,0.100427246,145.1,0.149109423,0.02244336,-0.029958309,-0.008130466,0.008130466,-0.058083259,0.058083259,-0.003648868,0.003648868,0.437289851,0.278022236,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,10.0,6,Probable enfermedad holandesa,7,2.0,Sin evidencia suficiente
2011,64.82902754,1.183519246,16.47331338,13.21760258,6.091696108,33.30215517,334966000000.0,1848.016667,100.1545928,166.5,-2.906114472,4.372695361,6.932640672,1.778178489,0.779801055,9.860491552,1846.777563,60.89860625,1748.41,1972.76,238,110.9399254,104.0093975,121.4483333,1569.210833,5.976136921,2.407592015,0.660125468,0.164733134,0.660125468,0.660125468,0.132176026,0.060916961,0.333021552,0.098604916,0.069326407,0.017781785,0.007798011,,0.001544735,0.027127695,0.001544735,166.5,0.13757215,0.043726954,-0.029061145,-0.007494231,0.007494231,-0.048369034,0.048369034,-0.002331578,0.002331578,0.960647583,0.277160336,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,8.5,6,Indicios parciales,7,10.0,Probable enfermedad holandesa
2012,65.71963855,1.08359471,16.53636934,13.08928488,5.582687054,33.40550062,370691000000.0,1798.011667,105.2948845,157.3,-3.140080131,4.057280413,6.205321688,1.032160236,0.686447911,8.296830791,1796.660127,25.60819637,1754.89,1915.02,236,111.9655583,105.0096289,96.36416667,1669.517667,4.110957056,2.266828625,0.668032333,0.165363693,0.668032333,0.668032333,0.130892849,0.055826871,0.334055006,0.082968308,0.062053217,0.010321602,0.006864479,,0.050049917,0.027512806,0.050049917,157.3,-0.056840499,0.040572804,-0.031400801,-0.001283177,0.001283177,0.00063056,0.0,-0.005090091,0.005090091,0.692978497,-0.133577155,FALSO,VERDADERO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,FALSO,7.5,6,Indicios parciales,5,8.5,Indicios parciales
2013,66.77140324,1.09600943,16.92471928,12.6623563,5.392714954,32.74755529,382094000000.0,1868.895,101.3366306,145.9,-3.236150671,4.24252458,5.874122178,0.731247317,0.349514038,7.38433936,1869.351429,55.29209274,1758.45,1952.11,238,108.8563745,104.0774975,84.56216919,1411.462302,3.075989796,2.075854466,0.678674127,0.169247193,0.678674127,0.678674127,0.126623563,0.05392715,0.327475553,0.073843394,0.058741222,0.007312473,0.00349514,,-0.038316887,-0.039662085,-0.038316887,145.9,-0.075233355,0.042425246,-0.032361507,-0.004269286,0.004269286,0.003883499,0.0,-0.001899721,0.001899721,0.413151189,-0.154186753,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,6.0,6,Indicios parciales,4,7.5,Indicios parciales
2014,65.5730546,0.968201674,17.1448362,12.26931864,5.446957215,30.98585272,381241000000.0,2001.105,95.88230813,132.8,-5.198431193,4.241072567,5.263761782,0.59232175,0.264573878,6.530577898,2001.34384,132.2741886,1846.12,2446.35,237,98.9375,96.235,70.13,1265.5775,4.423790492,2.216451461,0.665412563,0.171448362,0.665412563,0.665412563,0.122693186,0.054469572,0.309858527,0.065305779,0.052637618,0.005923217,0.002645739,,-0.055326468,-0.068227334,-0.055326468,132.8,-0.094077218,0.042410726,-0.051984312,-0.003930377,0.003930377,0.002201169,0.0,0.000542423,0.0,0.437059223,-0.007101223,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,5.0,6,Indicios parciales,3,6.0,Indicios parciales
2015,52.78635288,1.264120357,23.43449489,12.40089376,5.980424808,28.58944789,293492000000.0,2741.781667,77.58138753,100.0,-6.372304422,3.959398549,2.627708088,0.570764339,0.174415252,3.705876146,2748.264915,293.1191092,2360.58,3356.0,236,52.37,50.75277778,58.93916667,1160.663333,3.526069228,1.94116791,0.540504732,0.234344949,0.540504732,0.540504732,0.124008938,0.059804248,0.285894479,0.037058761,0.026277081,0.005707643,0.001744153,,-0.211793935,-0.317150898,-0.211793935,100.0,-0.283674051,0.039593985,-0.063723044,0.001315751,0.0,0.062896587,0.0,0.005334676,0.0,-0.135322284,-0.280837325,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,0.0,6,Sin evidencia suficiente,0,5.0,Indicios parciales
2016,47.4972851,1.16347146,24.25331907,12.29777884,6.606412266,27.68916231,282720000000.0,3055.255,74.18505336,98.9,-4.451950678,4.901645729,1.861767318,0.708360151,0.282365489,3.099477145,3050.97021,145.6084746,2833.78,3434.89,238,44.0475,42.81194444,66.12333333,1248.988333,3.611075701,1.953127974,0.486607566,0.242533191,0.486607566,0.486607566,0.122977788,0.066064123,0.276891623,0.030994771,0.018617673,0.007083602,0.002823655,,-0.044764854,-0.104489869,-0.044764854,98.9,-0.011060947,0.049016457,-0.044519507,-0.001031149,0.001031149,0.008188242,0.0,0.006259875,0.0,-0.145442684,0.009778683,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,VERDADERO,0.5,6,Sin evidencia suficiente,1,0.0,Sin evidencia suficiente
2017,54.13706029,1.245836655,20.46020091,11.40959357,6.389663553,26.81485891,311867000000.0,2951.486911,77.4219407,115.7,-3.182241911,4.393182328,2.42584235,0.859687672,0.217285981,3.728233211,2950.54434,54.52778807,2837.9,3092.65,235,54.3925,52.805,88.51833333,1257.559167,3.323207444,2.225527146,0.553828969,0.204602009,0.553828969,0.553828969,0.114095936,0.063896636,0.268148589,0.037282332,0.024258423,0.008596877,0.00217286,,0.042707519,0.033469966,0.042707519,115.7,0.156891396,0.043931823,-0.031822419,-0.008881853,0.008881853,-0.037931182,0.037931182,-0.002167487,0.002167487,0.051078037,0.106602293,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,VERDADERO,6.5,6,Indicios parciales,5,0.5,Sin evidencia suficiente
2018,57.87879062,1.191443446,19.9796379,11.15185297,6.22570969,26.89546675,334198000000.0,2955.70397,78.27514696,126.5,-4.201383447,3.380835732,3.640066604,0.870600653,0.146434355,4.940258189,2956.045339,144.3759094,2705.34,3289.69,236,71.07166667,68.3475,107.0225,1269.226667,2.925971664,1.869260554,0.590702341,0.199796379,0.590702341,0.590702341,0.11151853,0.062257097,0.268954668,0.049402582,0.036400666,0.008706007,0.001464344,,0.010959933,-0.001862665,0.010959933,126.5,0.089241674,0.033808357,-0.042013834,-0.002577406,0.002577406,-0.00480563,0.00480563,-0.001639539,0.001639539,0.213793716,0.084805802,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,FALSO,7.0,6,Indicios parciales,5,6.5,Indicios parciales
2019,54.69488565,1.045285575,21.07799653,10.92665754,6.410720822,25.99342684,323032000000.0,3281.622194,75.74835046,124.8,-4.584275173,4.330582409,3.142710082,0.66612704,0.198761584,4.304330929,3282.255649,127.557558,3072.01,3522.48,239,64.03166667,61.4075,77.88583333,1392.498333,2.879766503,1.621773588,0.557401712,0.210779965,0.557401712,0.557401712,0.109266575,0.064107208,0.259934268,0.043043309,0.031427101,0.00666127,0.001987616,,-0.032813477,-0.104678543,-0.032813477,124.8,-0.013529852,0.043305824,-0.045842752,-0.002251954,0.002251954,0.010983586,0.0,0.001850111,0.0,0.046746174,-0.086332929,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,FALSO,FALSO,VERDADERO,5.5,6,Indicios parciales,4,7.0,Indicios parciales
2020,41.5564454,1.301018342,22.40035068,10.72750235,7.508480467,23.4392386,270348000000.0,3693.275833,72.55470175,105.3,-3.427729459,2.75889429,1.562797903,0.389999761,0.334771272,2.551194176,3696.307983,213.9022763,3253.89,4153.91,238,42.3,41.25777778,60.785,1770.254167,3.323629997,1.51587834,0.428574637,0.224003507,0.428574637,0.428574637,0.107275024,0.075084805,0.234392386,0.025511942,0.015627979,0.003899998,0.003347713,,-0.043075884,-0.118803595,-0.043075884,105.3,-0.169899037,0.027588943,-0.034277295,-0.001991552,0.001991552,0.013223542,0.0,0.010977596,0.0,-0.128454051,-0.06977993,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,FALSO,0.0,6,Sin evidencia suficiente,0,5.5,Indicios parciales
2021,46.303559,1.658578306,21.6338312,11.19916085,7.771873014,24.55531202,318525000000.0,3744.244167,69.92297444,126.4,-5.635169495,3.001756938,3.424024876,0.725814104,0.910145515,5.323964454,3749.122437,145.5694188,3420.78,4023.68,238,70.44333333,69.07055556,138.05,1799.629167,4.511938548,1.981181763,0.479621373,0.216338312,0.479621373,0.479621373,0.111991608,0.07771873,0.24555312,0.053239645,0.034240249,0.007258141,0.009101455,,-0.036946513,-0.014187317,-0.036946513,126.4,0.182638063,0.030017569,-0.056351695,0.004716585,0.0,-0.007665195,0.007665195,0.002633925,0.0,0.66170585,0.413105309,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,VERDADERO,FALSO,2.0,6,Sin evidencia suficiente,2,0.0,Sin evidencia suficiente
2022,54.51655861,1.404916161,18.52755923,11.1476678,8.831544737,26.12300223,345632000000.0,4256.194167,62.58351007,154.1,-6.040541994,4.971241377,,,,,4251.469664,387.652758,3706.95,5061.21,238,99.82416667,97.10138889,344.8933333,1800.6025,5.630434134,2.285107002,0.559214748,0.185275592,0.559214748,0.559214748,0.111476678,0.088315447,0.261230022,,,,,,-0.110892445,-0.125742931,-0.110892445,154.1,0.198150261,0.049712414,-0.06040542,-0.00051493,0.00051493,-0.03106272,0.03106272,0.010596717,0.0,1.35276525,0.371555329,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,VERDADERO,FALSO,VERDADERO,VERDADERO,7.5,5,Indicios parciales,6,2.0,Sin evidencia suficiente
2023,50.72294391,1.771304756,20.40165133,10.86899724,8.807922947,24.69256489,366292000000.0,4325.955,67.13737066,139.1,-2.271398664,4.584787612,,,,,4323.969573,318.4110221,3822.05,4989.58,234,82.61625,80.75569444,172.7791667,1942.665833,4.540047453,2.626823102,0.524942487,0.204016513,0.524942487,0.524942487,0.108689972,0.088079229,0.246925649,,,,,,0.070239003,-0.016909136,0.070239003,139.1,-0.102408643,0.045847876,-0.022713987,-0.002786706,0.002786706,0.018740921,0.0,-0.000236218,0.000236218,0.872396777,-0.254933516,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,VERDADERO,6.0,5,Indicios parciales,4,7.5,Indicios parciales
2024,45.30369226,1.839627967,21.37734959,10.09553769,9.28279636,23.06078067,418818000000.0,4074.434167,75.23694514,,-1.674319875,3.267259548,,,,,4075.04105,193.5144898,3763.43,4478.21,238,80.69866667,78.73372222,136.1466667,2387.7025,5.622148437,4.414292254,0.471433202,0.213773496,0.471433202,0.471433202,0.100955377,0.092827964,0.230607807,,,,,,0.113901573,0.059293043,0.113901573,,,0.032672595,-0.016743199,-0.007734595,0.007734595,0.009756983,0.0,0.004748734,0.0,0.942692065,0.039570239,FALSO,FALSO,FALSO,VERDADERO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,5.5,5,Indicios parciales,3,6.0,Indicios parciales
2025,,,,,,,,,,,,,,,,,4052.271102,173.0764808,3706.94,4416.69,236,69.03525,67.42536111,108.3908333,3441.505833,8.469378423,4.859698982,,,,,,,,,,,,,,0.005603331,0.005603331,,,,,,,,,,,1.101411848,0.097806683,FALSO,FALSO,FALSO,VERDADERO,FALSO,FALSO,FALSO,FALSO,FALSO,1.5,2,Datos insuficientes,1,5.5,Indicios parciales
2026,,,,,,,,,,,,,,,,,3683.860316,58.30465376,3551.17,3797.64,95,90.498,82.78933333,124.4175,4837.42,7.445277318,3.933427889,,,,,,,,,,,,,,0.095316289,0.095316289,,,,,,,,,,,1.355651844,0.155051257,VERDADERO,FALSO,FALSO,VERDADERO,VERDADERO,FALSO,FALSO,FALSO,FALSO,3.5,2,Datos insuficientes,2,1.5,Datos insuficientes
